order,Position,Player,Team,reason
1,WR,Parker Washington,JAX,"Potential new lead WR in Jacksonville."
2,RB,Jadarian Price,SEA,"Could replace Kenneth Walker."
3,TE,Dallas Goedert,PHI,"Has historically produced when A.J. Brown is out."
4,WR,Makai Lemon,PHI,"Rookie WR in Philadelphia with a path to a larger role."
5,TE,George Kittle,SF,"Returning from injury; could improve after the first few games."
6,RB,Jonathon Brooks,CAR,"Chuba Hubbard is banged up, creating a possible starting-job path; unproven and carrying major risk after multiple ACL tears."
7,RB,MarShawn Lloyd,GB,"Josh Jacobs backup; Jacobs has legal uncertainty, though a suspension this year is considered unlikely."
8,RB,Mike Washington Jr.,LV,"Ashton Jeanty's backup while Jeanty is looking gimpy."
9,RB,Woody Marks,HOU,"Shares a backfield with David Montgomery."
10,RB,Jonah Coleman,DEN,"Drafted after RJ Harvey did not do enough last year with J.K. Dobbins out."
11,WR,KC Concepcion,CLE,"Repeated positive buzz; worth tracking as a ceiling bet."
12,RB,Braelon Allen,NYJ,"Handcuff for Breece Hall."
13,WR,Matthew Golden,GB,"Longshot upside."
14,WR,De'Zhaun Stribling,SF,"Longshot rookie WR."
15,RB,Kaelon Black,SF,"Christian McCaffrey backup."
16,K,Brandon Aubrey,DAL,"User-configured kicker priority."
17,K,Ka'imi Fairbairn,HOU,"User-configured kicker priority."
18,K,Cameron Dicker,LAC,"User-configured kicker priority."
19,K,Jason Myers,SEA,"User-configured kicker priority."
20,DEF,Chargers D,LAC,"User-configured defense priority."
21,DEF,Jaguars D,JAX,"User-configured defense priority."
